FISHERIES_WATERBODY_ID,LAKE_NAME,ALT_LAKE_NAME,DOW_NBR_PRIMARY,DOW_SUB_BASIN_NBR_PRIMARY,FETCH_ORIENTATION_DEGREES,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_MN_ACRES,LAKE_AREA_PLANIMETERED_ACRES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,LARGE_LAKE_FLAG,LITTORAL_AREA_ACRES,MAX_DEPTH_FEET,MAX_FETCH_MILES,MEAN_DEPTH_FEET,PLS_SECTION_ID_LAKE_CENTER,SHORE_LENGTH_MILES,UTM_DATUM_ID,UTM_ZONE_ID,WATERSHED_MINOR_ID
1,Dragon,Duck,380552.0,0.0,90.0,85.0,79,79,79,47.6987,-91.50734,"611,992","5,283,892",12.0,,N,79.0,15.0,1.0,,"6,000,908",2.0,83.0,15.0,"72,038"
2,Acorn,,30258.0,0.0,315.0,144.0,154,154,125,46.74671,-95.75589,"289,499","5,180,706",28.0,,N,51.0,55.0,1.0,20.0,"13,804,029",3.0,83.0,15.0,"56,076"
4,Ellison,Eilertson,30484.0,0.0,90.0,79.0,83,83,52,46.77465,-96.02259,"269,248","5,184,559",36.0,,N,45.0,24.0,2.0,12.0,"13,804,217",3.0,83.0,15.0,"56,006"
5,Hayes,,680004.0,0.0,,187.0,182,182,180,48.62806,-95.53588,"313,150","5,389,214",34.0,,N,127.0,28.0,2.0,10.0,"16,003,834",6.0,83.0,15.0,"71,073"
6,Peary,,690833.0,0.0,90.0,130.0,116,116,112,48.52545,-92.77075,"516,927","5,374,730",12.0,,N,116.0,15.0,1.0,8.0,"7,001,928",3.0,83.0,15.0,"74,005"
7,Rat Root,,360006.0,0.0,22.0,555.0,734,734,"1,125",48.50282,-93.2793,"478,728","5,371,379",16.0,,N,734.0,8.0,,,"6,902,304",29.0,83.0,15.0,"74,035"
8,Shoepack,Boot Jack,690870.0,0.0,90.0,294.0,299,299,306,48.50322,-92.88221,"508,700","5,372,240",13.0,,N,252.0,24.0,2.0,,"7,002,034",7.0,83.0,15.0,"74,003"
10,Little Trout,Pocket,690682.0,0.0,315.0,250.0,272,272,239,48.39682,-92.52258,"535,339","5,360,516",5.0,,N,79.0,95.0,1.0,43.0,"6,801,704",5.0,83.0,15.0,"74,014"
11,Little Johnson,,690760.0,0.0,315.0,320.0,566,566,481,48.36541,-92.67348,"524,184","5,356,967",16.0,,N,471.0,28.0,2.0,,"6,801,820",11.0,83.0,15.0,"74,013"
14,Trygg,Twigg,690389.0,0.0,90.0,30.0,24,24,25,48.33524,-92.19339,"559,779","5,353,876",10.0,,N,8.0,35.0,1.0,,"6,801,536",2.0,83.0,15.0,"72,117"
15,Little Vermilion,,690608.0,0.0,315.0,540.0,"1,288",558,"1,331",48.27708,-92.4082,"543,909","5,347,266",7.0,,N,231.0,52.0,6.0,,"6,701,621",37.0,83.0,15.0,"72,119"
16,Ludlow Pit,,40649.0,0.0,,31.0,31,31,7,48.28385,-94.56029,"384,251","5,349,027",,,N,7.0,17.0,,,"15,603,136",2.0,83.0,15.0,"62,055"
19,Profit,,690360.0,0.0,,15.0,14,14,15,48.2625,-92.09967,"566,819","5,345,868",14.0,,N,14.0,12.0,,,"6,701,426",1.0,83.0,15.0,"72,117"
20,Seed,,380523.0,0.0,,23.0,56,7,,48.07255,-91.32341,"624,889","5,325,723",,,N,0.0,,,,"6,500,835",4.0,83.0,15.0,"72,123"
22,Chase,,690361.0,0.0,,17.0,16,16,17,48.25434,-92.09885,"566,890","5,344,962",,,N,16.0,15.0,,,"6,701,426",1.0,83.0,15.0,"72,114"
23,Section Twenty-Nine,,690606.0,0.0,,26.0,22,22,26,48.25598,-92.43228,"542,140","5,344,908",,,N,0.0,,,,"6,701,629",1.0,83.0,15.0,"72,119"
25,Rocky,,690342.0,0.0,,122.0,120,120,116,48.24541,-92.10253,"566,629","5,343,966",10.0,,N,42.0,40.0,1.0,,"6,701,435",3.0,83.0,15.0,"72,114"
27,Heritage,,690469.0,0.0,337.0,205.0,207,207,184,48.22788,-92.21492,"558,305","5,341,927",10.0,,N,92.0,43.0,2.0,,"6,601,501",6.0,83.0,15.0,"72,109"
28,Oyster,,690330.0,0.0,45.0,772.0,763,763,714,48.22431,-92.10611,"566,390","5,341,618",7.0,,N,234.0,130.0,2.0,,"6,601,410",9.0,83.0,15.0,"72,114"
30,Marabaeuf,Maraboeuf,160610.0,0.0,360.0,398.0,860,392,,48.18618,-90.83394,"661,675","5,337,952",3.0,6.0,N,,55.0,4.0,,"6,600,421",33.0,83.0,15.0,"72,126"
32,Little Hustler,Ruby,690332.0,0.0,,72.0,69,69,67,48.2294,-92.17337,"561,389","5,342,128",4.0,,N,29.0,70.0,,,"6,601,406",2.0,83.0,15.0,"72,113"
33,Lynx,,690383.0,0.0,,282.0,291,291,295,48.21808,-92.19332,"559,920","5,340,854",3.0,,N,15.0,85.0,1.0,,"6,601,512",5.0,83.0,15.0,"72,109"
34,Morris,,160609.0,0.0,360.0,69.0,61,61,62,48.20181,-90.86024,"658,989","5,340,945",8.0,,N,39.0,22.0,1.0,,"6,600,417",3.0,83.0,15.0,"72,126"
35,Emerald,,690335.0,0.0,,76.0,77,77,67,48.21454,-92.14862,"563,245","5,340,496",4.0,,N,23.0,34.0,1.0,,"6,601,408",2.0,83.0,15.0,"72,114"
